NIS, CHI_2 
0.785688, 5.991 
6.10248, 7.815
0.743122, 5.991 
5.72303, 7.815
0.545691, 5.991 
3.445, 7.815
2.52552, 5.991 
2.26668, 7.815
0.590211, 5.991 
3.39623, 7.815
1.93385, 5.991 
3.80649, 7.815
1.35111, 5.991 
2.42445, 7.815
1.72941, 5.991 
3.74221, 7.815
1.01574, 5.991 
4.06507, 7.815
2.11937, 5.991 
4.66086, 7.815
0.642725, 5.991 
4.02905, 7.815
0.909459, 5.991 
4.60384, 7.815
1.96925, 5.991 
3.47778, 7.815
1.27803, 5.991 
4.58708, 7.815
0.214964, 5.991 
1.16617, 7.815
1.15858, 5.991 
0.857135, 7.815
0.0612682, 5.991 
1.08593, 7.815
3.99739, 5.991 
11.1266, 7.815
1.96421, 5.991 
6.94061, 7.815
4.40777, 5.991 
11.0334, 7.815
0.142816, 5.991 
10.6287, 7.815
1.00538, 5.991 
6.76949, 7.815
0.127239, 5.991 
10.4504, 7.815
4.51783, 5.991 
0.385333, 7.815
2.33394, 5.991 
3.29856, 7.815
4.50037, 5.991 
0.407368, 7.815
1.33448, 5.991 
8.58816, 7.815
4.89767, 5.991 
8.38052, 7.815
1.06643, 5.991 
8.26027, 7.815
2.28801, 5.991 
4.02593, 7.815
1.77396, 5.991 
5.58249, 7.815
2.86399, 5.991 
4.06514, 7.815
0.199753, 5.991 
3.82576, 7.815
1.84089, 5.991 
6.41012, 7.815
0.13212, 5.991 
3.95215, 7.815
0.442859, 5.991 
0.419633, 7.815
0.815737, 5.991 
0.401661, 7.815
0.520778, 5.991 
0.400135, 7.815
0.0782608, 5.991 
7.65343, 7.815
0.391318, 5.991 
7.44855, 7.815
0.0600652, 5.991 
7.5323, 7.815
0.3953, 5.991 
2.7229, 7.815
0.0267561, 5.991 
2.25356, 7.815
0.400254, 5.991 
2.71917, 7.815
2.69411, 5.991 
5.6952, 7.815
4.32032, 5.991 
6.97861, 7.815
2.14031, 5.991 
5.61714, 7.815
5.84926, 5.991 
4.42644, 7.815
5.76661, 5.991 
4.34331, 7.815
4.49436, 5.991 
4.07736, 7.815
3.99276, 5.991 
1.64717, 7.815
7.41693, 5.991 
2.6342, 7.815
3.45543, 5.991 
1.53023, 7.815
1.35526, 5.991 
2.20664, 7.815
3.19398, 5.991 
3.4148, 7.815
0.159469, 5.991 
2.44696, 7.815
0.301175, 5.991 
4.07585, 7.815
0.759889, 5.991 
4.56049, 7.815
1.10844, 5.991 
3.6611, 7.815
4.47531, 5.991 
3.23414, 7.815
2.91416, 5.991 
2.34483, 7.815
7.66291, 5.991 
3.19075, 7.815
2.22314, 5.991 
0.476231, 7.815
3.99457, 5.991 
0.37812, 7.815
2.30208, 5.991 
0.417491, 7.815
6.29658, 5.991 
5.75434, 7.815
8.95692, 5.991 
5.083, 7.815
3.65974, 5.991 
